Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.119455,0.316401,-0.00859,0,0,0,0.079,0.007931558,-0.002989401,7.4944E-05,0.001208874,-0.000222262,0.009035413,0,0,0,0,0,0,package://arm_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://arm_description/meshes/base_link.STL,,零件8^ctrl-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.14629,0.274743,-0.018957,0,0,0,0.743,0.056991104,-0.029729557,0.002091529,0.016721572,-0.003827803,0.072694188,0,0,0,0,0,0,package://arm_description/meshes/Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm_description/meshes/Link1.STL,,111-1/切除-拉伸28[2]-1;111-1/移动面4-1;111-1/圆角16-1;DM-J4310-2EC-V1.1__3d_20240822_1.stp-1;DM-J6006-2EC_20240822_1.stp-1,坐标系1,基准轴5,j1,revolute,0,0,0.0465,0,0,0,base_link,0,0,-1,1,1,0,1,,,,1,,,,
Link2,-0.246394,0.120854,-0.054193,0,0,0,0.396,0.007704444,-0.011576301,0.005409182,0.025699817,-0.002350387,0.030490625,0,0,0,0,0,0,package://arm_description/meshes/Link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://arm_description/meshes/Link2.STL,,111-1/实体1-1;DM-J4310-2EC-V1.1__3d_20240822_1.stp-2;零件5-1,坐标系2,基准轴6,j2,revolute,0,0,0.0354,1.5708,0,3.1416,Link1,0,0,-1,1,1,0,1,,,,1,,,,
Link3,-0.201228,0.058046,-0.067442,0,0,0,0.207,0.0017669,-0.002445484,0.002826134,0.009426086,-0.000831974,0.009209849,0,0,0,0,0,0,package://arm_description/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://arm_description/meshes/Link3.STL,,roll.fu-1;MS5015v2.step-3,坐标系3,基准轴7,j3,revolute,0,0.17331,0,0,0,1.5708,Link2,0,0,1,1,1,0,1,,,,1,,,,
Link4,-0.097671,-0.017048,-0.040386,0,0,0,0.371,0.000920659,0.000538358,0.001481875,0.004406711,0.000240297,0.003960406,0,0,0,0,0,0,package://arm_description/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://arm_description/meshes/Link4.STL,,j4.fu-1;DM-J4310-2EC-V1.1__3d_20240822_1.stp-4,坐标系4,基准轴8,j4,revolute,0.019039,0.092852,-0.01035,-1.5708,0,0,Link3,0,0,-1,1,1,0,1,,,,1,,,,
Link5,-0.046899,-0.053957,-0.024708,0,0,0,0.137,0.000542273,0.000339371,0.000139679,0.000462047,0.000192007,0.000768102,0,0,0,0,0,0,package://arm_description/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://arm_description/meshes/Link5.STL,,零件6^自定义控制器.fu-1;MS5005v2.step-1,坐标系5,基准轴10,j5,revolute,0,0,0.11484,1.5708,0,0,Link4,0,0,1,1,11,0,1,,,,1,,,,
Link6,0.011698,-0.101754,-0.010807,0,0,0,0.185,0.002122325,-0.00024356,-1.4388E-05,0.000245908,0.000209453,0.002149884,0,0,0,0,0,0,package://arm_description/meshes/Link6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://arm_description/meshes/Link6.STL,,夹爪手柄-1,坐标系6,基准轴11,j6,revolute,0,0.0739,0,1.5708,0,0,Link5,0,0,1,1,1,0,1,,,,1,,,,
